county,stateabbrv,avalanche,coastalflooding,coldwave,drought,earthquake,hail,heatwave,hurricane,icestorm,landslide,lightning,riverineflooding,strongwind,tornado,tsunami,volcano,wildfire,winterweather
Chilton,AL,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Choctaw,AL,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Clarke,AL,Not Applicable,Very Low,No Rating,Very Low,Very Low,Very Low,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Insufficient Data,Not Applicable,Very Low,Very Low
Clay,AL,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Cleburne,AL,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Coffee,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Colbert,AL,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Conecuh,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Coosa,AL,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Covington,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively High,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Crenshaw,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Cullman,AL,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Very Low,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Dale,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively High,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Dallas,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
DeKalb,AL,Not Applicable,Not Applicable,Relatively High,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Elmore,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Escambia,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively High,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Etowah,AL,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Low
Fayette,AL,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Franklin,AL,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Geneva,AL,Not Applicable,Not Applicable,No Rating,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Greene,AL,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Hale,AL,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Henry,AL,Not Applicable,Not Applicable,No Rating,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Houston,AL,Not Applicable,Not Applicable,No Rating,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively High,Relatively Moderate,Relatively Moderate,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Low
Jackson,AL,Not Applicable,Not Applicable,Relatively High,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Jefferson,AL,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Moderate,Relatively Low,Relatively High,Relatively Low,Relatively Low,Relatively Moderate,Relatively High,Very High,Relatively Moderate,Very High,Not Applicable,Not Applicable,Very Low,Relatively Low
Lamar,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Lauderdale,AL,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Lawrence,AL,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Relatively Low,Very Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Lee,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively High,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Limestone,AL,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Lowndes,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Macon,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Madison,AL,Not Applicable,Not Applicable,Relatively High,Very Low,Relatively Moderate,Relatively Low,Relatively High,Relatively Low,Relatively High,Relatively Moderate,Very High,Relatively Low,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively High
Marengo,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Marion,AL,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Marshall,AL,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Low
Mobile,AL,Not Applicable,Relatively Low,No Rating,Relatively Moderate,Relatively Low,Relatively Low,Relatively High,Very High,Relatively Moderate,Relatively Low,Very High,Relatively High,Relatively Low,Relatively High,Insufficient Data,Not Applicable,Relatively Moderate,Relatively Moderate
Monroe,AL,Not Applicable,Very Low,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Insufficient Data,Not Applicable,Very Low,Very Low
Montgomery,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Very Low,Relatively High,Relatively Low,Relatively Low,Relatively Low,Relatively High,Relatively Low,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Very Low
Morgan,AL,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Perry,AL,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Pickens,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Pike,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Randolph,AL,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Russell,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
St. Clair,AL,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Shelby,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Low
Sumter,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Talladega,AL,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Tallapoosa,AL,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Tuscaloosa,AL,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Relatively Low,Relatively High,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Low
Walker,AL,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Washington,AL,Not Applicable,Very Low,No Rating,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Insufficient Data,Not Applicable,Relatively Low,Very Low
Wilcox,AL,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Winston,AL,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Aleutians East,AK,Very Low,No Rating,No Rating,No Rating,Relatively Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,Relatively Moderate,Relatively Low,Very Low,Very Low
Aleutians West,AK,Not Applicable,No Rating,No Rating,No Rating,Relatively Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,Relatively High,Relatively Moderate,No Rating,Very Low
Anchorage,AK,Relatively High,Very Low,No Rating,No Rating,Relatively High,Very Low,No Rating,Not Applicable,Relatively Low,Insufficient Data,Insufficient Data,Relatively Low,No Rating,Very Low,No Rating,No Rating,Relatively Low,Relatively Low
Bethel,AK,Very Low,No Rating,Relatively Moderate,No Rating,Very Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Low,Very Low,Very Low,Not Applicable,Very Low,Relatively Low,Relatively Moderate
Bristol Bay,AK,Not Applicable,No Rating,No Rating,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,Not Applicable,Very Low,Very Low,Very Low
Chugach,AK,Very Low,Very Low,Very Low,No Rating,Relatively Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,Relatively Low,No Rating,Very Low,Relatively Low
Copper River,AK,Very Low,No Rating,Very Low,No Rating,Very Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,No Rating,Relatively Low,Relatively Low,Very Low
Denali,AK,Relatively Moderate,Not Applicable,Very Low,No Rating,Very Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
Dillingham,AK,Very Low,Very Low,No Rating,No Rating,Very Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Low,Very Low,Very Low,No Rating,Not Applicable,Very Low,Relatively Low
Fairbanks North Star,AK,Not Applicable,Not Applicable,Relatively High,No Rating,Relatively Moderate,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Low,No Rating,Very Low,Not Applicable,Not Applicable,Relatively High,Very Low
Haines,AK,Relatively Low,No Rating,No Rating,No Rating,Relatively Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,Relatively Low,Not Applicable,Very Low,Relatively Low
Hoonah-Angoon,AK,Relatively Low,Very Low,No Rating,No Rating,Relatively Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,Very Low,Not Applicable,Very Low,Very Low
Juneau,AK,Relatively Low,Very Low,No Rating,No Rating,Relatively Low,No Rating,No Rating,Not Applicable,Relatively Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,Relatively Low,Not Applicable,Very Low,Relatively Moderate
Kenai Peninsula,AK,Very High,Very Low,No Rating,Very Low,Relatively Moderate,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Moderate,No Rating,Very Low,Relatively High,Relatively High,Relatively High,Relatively Moderate
Ketchikan Gateway,AK,Not Applicable,No Rating,No Rating,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,No Rating,Very Low,Very Low,Relatively Low
Kodiak Island,AK,Not Applicable,No Rating,No Rating,No Rating,Relatively Moderate,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Moderate
Kusilvak,AK,Not Applicable,No Rating,Very Low,No Rating,Very Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Lake and Peninsula,AK,Very Low,No Rating,No Rating,No Rating,Very Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,Relatively Low,Relatively Low,Very Low,Very Low
Matanuska-Susitna,AK,Very High,No Rating,Very Low,No Rating,Relatively Moderate,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Low,No Rating,Very Low,No Rating,Very Low,Relatively Moderate,Very Low
Nome,AK,Very Low,Very Low,Relatively Low,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,No Rating,Not Applicable,Very Low,Relatively Moderate
North Slope,AK,Relatively Moderate,No Rating,Relatively High,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Northwest Arctic,AK,Not Applicable,Very Low,Relatively Moderate,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate
Petersburg,AK,Very Low,Very Low,No Rating,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,No Rating,No Rating,Very Low,Very Low
Prince of Wales-Hyder,AK,Not Applicable,No Rating,No Rating,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,No Rating,Very Low,Very Low,Very Low
Sitka,AK,Very Low,Very Low,No Rating,No Rating,Relatively Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Low,No Rating,Very Low,Relatively Moderate,Not Applicable,Very Low,Very Low
Skagway,AK,Relatively Low,No Rating,Relatively Low,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,Relatively Low,Not Applicable,Very Low,Very Low
Southeast Fairbanks,AK,Relatively Moderate,Not Applicable,Relatively Low,No Rating,Relatively Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Low,No Rating,Very Low,Not Applicable,No Rating,Relatively Moderate,Very Low
Wrangell,AK,Very Low,Very Low,No Rating,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,No Rating,Very Low,Very Low,Very Low
Yakutat,AK,Not Applicable,No Rating,No Rating,No Rating,Relatively Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,Relatively Low,Not Applicable,Very Low,Very Low
Yukon-Koyukuk,AK,Very Low,Not Applicable,Relatively Moderate,No Rating,Very Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Moderate,No Rating,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low
Apache,AZ,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Very Low,Very Low,Very Low,Very Low,Relatively Low,Relatively Low,Relatively High,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low
Cochise,AZ,Not Applicable,Not Applicable,Very Low,Relatively High,Relatively Low,Very Low,Relatively Moderate,Very Low,Not Applicable,Relatively Moderate,Relatively High,Relatively Moderate,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively High,Relatively Low
Coconino,AZ,Very Low,Not Applicable,Relatively Moderate,Very Low,Relatively Low,Very Low,Very Low,Not Applicable,Relatively Low,Relatively High,Very High,Relatively High,Very Low,Very Low,Not Applicable,Not Applicable,Relatively High,Relatively Moderate
Gila,AZ,Not Applicable,Not Applicable,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Very Low,Not Applicable,Relatively High,Relatively High,Relatively Moderate,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively High,Relatively Low
Graham,AZ,Not Applicable,Not Applicable,Very Low,Relatively High,Relatively Low,Very Low,Relatively Moderate,Very Low,Not Applicable,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low
Greenlee,AZ,Not Applicable,Not Applicable,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
La Paz,AZ,Not Applicable,Not Applicable,No Rating,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Very Low,Not Applicable,Relatively Low,Very Low,Relatively High,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
Maricopa,AZ,Not Applicable,Not Applicable,No Rating,Relatively Moderate,Relatively Moderate,Relatively High,Very High,Very Low,Not Applicable,Relatively Moderate,Relatively High,Relatively Moderate,Very High,Relatively Moderate,Not Applicable,Not Applicable,Relatively High,Very Low
Mohave,AZ,Not Applicable,Not Applicable,Very Low,Very Low,Relatively Moderate,Very Low,Relatively High,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively High,Very Low
Navajo,AZ,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Relatively Low,Very Low,Very Low,Not Applicable,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Very Low,Very Low,Not Applicable,Not Applicable,Relatively High,Relatively Moderate
Pima,AZ,Not Applicable,Not Applicable,Very Low,Relatively High,Relatively Moderate,Very Low,Relatively High,Very Low,Not Applicable,Relatively Moderate,Very High,Relatively High,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively High,Relatively Moderate
Pinal,AZ,Not Applicable,Not Applicable,Very Low,Relatively High,Relatively Low,Very Low,Relatively High,Very Low,Not Applicable,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Relatively High,Very Low
Santa Cruz,AZ,Not Applicable,Not Applicable,No Rating,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Very Low,Not Applicable,Relatively Low,Relatively High,Relatively Moderate,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Very Low
